aggregator, node_id: 3, sample: 53.573, missed_samples: 0 , time: 11936655 #
aggregator, node_id: 2, sample: 63.303, missed_samples: 0 , time: 12154481 #
aggregator, node_id: 3, sample: 59.840, missed_samples: 0 , time: 15552913 #
aggregator, node_id: 2, sample: 72.361, missed_samples: 0 , time: 16586006 #
aggregator, node_id: 3, sample: 38.001, missed_samples: 0 , time: 19701200 #
aggregator, node_id: 2, sample: 65.321, missed_samples: 1 , time: 20914144 #
aggregator, node_id: 3, sample: 75.088, missed_samples: 0 , time: 23670020 #
aggregator, node_id: 2, sample: 20.769, missed_samples: 0 , time: 24935755 #
aggregator, node_id: 3, sample: 57.061, missed_samples: 0 , time: 28201282 #
aggregator, node_id: 2, sample: 57.478, missed_samples: 0 , time: 29570369 #
aggregator, node_id: 2, sample: 26.074, missed_samples: 0 , time: 32982516 #
aggregator, node_id: 3, sample: 48.321, missed_samples: 1 , time: 33052921 #
aggregator, node_id: 2, sample: 45.555, missed_samples: 0 , time: 37373242 #
aggregator, node_id: 3, sample: 30.718, missed_samples: 0 , time: 37771681 #
aggregator, node_id: 2, sample: 59.522, missed_samples: 0 , time: 40943565 #
aggregator, node_id: 3, sample: 40.087, missed_samples: 0 , time: 41045017 #
aggregator, node_id: 3, sample: 26.624, missed_samples: 0 , time: 45318575 #
aggregator, node_id: 2, sample: 57.838, missed_samples: 0 , time: 45724804 #
aggregator, node_id: 3, sample: 52.044, missed_samples: 0 , time: 48830592 #
aggregator, node_id: 2, sample: 53.782, missed_samples: 0 , time: 50029472 #
aggregator, node_id: 3, sample: 60.806, missed_samples: 0 , time: 52670105 #
aggregator, node_id: 2, sample: 52.597, missed_samples: 0 , time: 53584169 #
aggregator, node_id: 3, sample: 22.018, missed_samples: 0 , time: 56927842 #
aggregator, node_id: 2, sample: 71.802, missed_samples: 0 , time: 56966980 #
aggregator, node_id: 2, sample: 67.609, missed_samples: 0 , time: 61459167 #
aggregator, node_id: 3, sample: 71.553, missed_samples: 0 , time: 61865429 #
aggregator, node_id: 2, sample: 78.818, missed_samples: 0 , time: 64959166 #
aggregator, node_id: 3, sample: 53.891, missed_samples: 0 , time: 66381061 #
aggregator, node_id: 2, sample: 61.168, missed_samples: 0 , time: 68271688 #
aggregator, node_id: 3, sample: 41.198, missed_samples: 0 , time: 71302933 #
aggregator, node_id: 2, sample: 33.601, missed_samples: 1 , time: 73224798 #
aggregator, node_id: 3, sample: 19.465, missed_samples: 0 , time: 75279502 #
aggregator, node_id: 2, sample: 51.725, missed_samples: 0 , time: 76974806 #
aggregator, node_id: 3, sample: 66.285, missed_samples: 0 , time: 80162288 #
aggregator, node_id: 2, sample: 62.447, missed_samples: 0 , time: 81123233 #
aggregator, node_id: 3, sample: 51.987, missed_samples: 1 , time: 84857643 #
aggregator, node_id: 2, sample: 76.545, missed_samples: 0 , time: 85888863 #
aggregator, node_id: 3, sample: 32.088, missed_samples: 0 , time: 87896591 #
aggregator, node_id: 2, sample: 57.147, missed_samples: 0 , time: 90522093 #
aggregator, node_id: 3, sample: 79.796, missed_samples: 0 , time: 92076366 #
aggregator, node_id: 2, sample: 71.676, missed_samples: 0 , time: 93935742 #
aggregator, node_id: 3, sample: 55.904, missed_samples: 0 , time: 96076374 #
aggregator, node_id: 2, sample: 41.651, missed_samples: 1 , time: 98748245 #
aggregator, node_id: 3, sample: 44.553, missed_samples: 0 , time: 100053833 #
aggregator, node_id: 2, sample: 71.367, missed_samples: 1 , time: 103623233 #
aggregator, node_id: 3, sample: 40.540, missed_samples: 1 , time: 105013854 #
aggregator, node_id: 2, sample: 36.887, missed_samples: 0 , time: 107146677 #
aggregator, node_id: 3, sample: 49.787, missed_samples: 0 , time: 108201360 #
aggregator, node_id: 2, sample: 39.637, missed_samples: 0 , time: 111006039 #
aggregator, node_id: 3, sample: 80.255, missed_samples: 0 , time: 112881046 #
aggregator, node_id: 2, sample: 74.510, missed_samples: 0 , time: 115654488 #
aggregator, node_id: 3, sample: 29.953, missed_samples: 0 , time: 117662305 #
aggregator, node_id: 2, sample: 33.207, missed_samples: 0 , time: 120131050 #
aggregator, node_id: 3, sample: 57.556, missed_samples: 2 , time: 122271668 #
aggregator, node_id: 2, sample: 39.384, missed_samples: 0 , time: 124209173 #
aggregator, node_id: 3, sample: 75.122, missed_samples: 0 , time: 126920125 #
aggregator, node_id: 2, sample: 26.367, missed_samples: 0 , time: 128381055 #
aggregator, node_id: 3, sample: 52.746, missed_samples: 0 , time: 131826373 #
aggregator, node_id: 2, sample: 71.536, missed_samples: 0 , time: 131888859 #
aggregator, node_id: 3, sample: 43.096, missed_samples: 0 , time: 135412198 #
aggregator, node_id: 2, sample: 59.118, missed_samples: 0 , time: 136201377 #
aggregator, node_id: 3, sample: 25.835, missed_samples: 0 , time: 139256073 #
aggregator, node_id: 2, sample: 48.964, missed_samples: 0 , time: 140545163 #
aggregator, node_id: 3, sample: 48.310, missed_samples: 0 , time: 143748249 #
aggregator, node_id: 2, sample: 45.094, missed_samples: 0 , time: 145396577 #
aggregator, node_id: 3, sample: 45.801, missed_samples: 0 , time: 148560740 #
aggregator, node_id: 2, sample: 31.155, missed_samples: 0 , time: 150404504 #
aggregator, node_id: 3, sample: 62.455, missed_samples: 0 , time: 152193550 #
aggregator, node_id: 2, sample: 26.847, missed_samples: 0 , time: 153966985 #
aggregator, node_id: 3, sample: 60.181, missed_samples: 0 , time: 156654495 #
aggregator, node_id: 2, sample: 39.967, missed_samples: 0 , time: 157357630 #
aggregator, node_id: 3, sample: 52.147, missed_samples: 0 , time: 160927924 #
aggregator, node_id: 2, sample: 41.882, missed_samples: 0 , time: 161396685 #
aggregator, node_id: 3, sample: 61.202, missed_samples: 0 , time: 164537319 #
aggregator, node_id: 2, sample: 85.500, missed_samples: 0 , time: 165351577 #
aggregator, node_id: 2, sample: 69.081, missed_samples: 0 , time: 168898646 #
aggregator, node_id: 3, sample: 24.226, missed_samples: 0 , time: 169310754 #
aggregator, node_id: 3, sample: 68.492, missed_samples: 0 , time: 172874041 #
aggregator, node_id: 2, sample: 37.289, missed_samples: 0 , time: 173841982 #
aggregator, node_id: 3, sample: 46.786, missed_samples: 1 , time: 177396683 #
aggregator, node_id: 2, sample: 21.653, missed_samples: 0 , time: 178125306 #
aggregator, node_id: 3, sample: 68.126, missed_samples: 0 , time: 181888857 #
aggregator, node_id: 2, sample: 39.118, missed_samples: 1 , time: 182552947 #
aggregator, node_id: 3, sample: 31.657, missed_samples: 0 , time: 186185750 #
aggregator, node_id: 2, sample: 33.317, missed_samples: 0 , time: 187287310 #
aggregator, node_id: 3, sample: 55.585, missed_samples: 0 , time: 189724822 #
aggregator, node_id: 2, sample: 43.850, missed_samples: 0 , time: 190881067 #
aggregator, node_id: 3, sample: 53.736, missed_samples: 0 , time: 194373240 #
aggregator, node_id: 2, sample: 45.380, missed_samples: 0 , time: 195052919 #
aggregator, node_id: 2, sample: 63.162, missed_samples: 0 , time: 198998242 #
aggregator, node_id: 3, sample: 52.517, missed_samples: 1 , time: 199201365 #
aggregator, node_id: 2, sample: 44.645, missed_samples: 0 , time: 202599793 #
aggregator, node_id: 3, sample: 22.135, missed_samples: 0 , time: 203295114 #
aggregator, node_id: 2, sample: 18.482, missed_samples: 0 , time: 206263898 #
aggregator, node_id: 3, sample: 65.306, missed_samples: 0 , time: 207810728 #
aggregator, node_id: 2, sample: 60.307, missed_samples: 0 , time: 210131063 #
aggregator, node_id: 3, sample: 26.297, missed_samples: 0 , time: 210896673 #
aggregator, node_id: 2, sample: 26.385, missed_samples: 0 , time: 214396677 #
aggregator, node_id: 3, sample: 88.341, missed_samples: 0 , time: 215771670 #
aggregator, node_id: 2, sample: 29.178, missed_samples: 0 , time: 218279495 #
aggregator, node_id: 3, sample: 84.230, missed_samples: 0 , time: 219295124 #
aggregator, node_id: 2, sample: 56.105, missed_samples: 0 , time: 221381062 #
aggregator, node_id: 3, sample: 39.712, missed_samples: 0 , time: 224201365 #
aggregator, node_id: 2, sample: 59.843, missed_samples: 0 , time: 225476821 #
aggregator, node_id: 3, sample: 437.087, missed_samples: 0 , time: 228529553 #
aggregator, node_id: 2, sample: 66.039, missed_samples: 0 , time: 229834075 #
aggregator, node_id: 3, sample: -185.65187, missed_samples: 0 , time: 233405018 #
aggregator, node_id: 2, sample: 52.814, missed_samples: 0 , time: 233802913 #
aggregator, node_id: 3, sample: -157.64743, missed_samples: 1 , time: 237975330 #
aggregator, node_id: 2, sample: 50.554, missed_samples: 0 , time: 238482628 #
aggregator, node_id: 2, sample: 59.230, missed_samples: 0 , time: 241849814 #
aggregator, node_id: 3, sample: -23.65443, missed_samples: 0 , time: 242162703 #
aggregator, node_id: 2, sample: 64.942, missed_samples: 0 , time: 246240432 #
aggregator, node_id: 3, sample: -9.64638, missed_samples: 1 , time: 246944596 #
aggregator, node_id: 3, sample: 4.910, missed_samples: 0 , time: 250420805 #
aggregator, node_id: 2, sample: 60.115, missed_samples: 0 , time: 251045112 #
aggregator, node_id: 3, sample: 57.851, missed_samples: 0 , time: 254271699 #
aggregator, node_id: 2, sample: 62.970, missed_samples: 0 , time: 255568572 #
aggregator, node_id: 3, sample: 65.867, missed_samples: 0 , time: 258896672 #
aggregator, node_id: 2, sample: 26.322, missed_samples: 0 , time: 259154491 #
aggregator, node_id: 2, sample: 14.543, missed_samples: 0 , time: 262257637 #
aggregator, node_id: 3, sample: 27.177, missed_samples: 0 , time: 263185762 #
aggregator, node_id: 2, sample: 47.322, missed_samples: 0 , time: 266560730 #
aggregator, node_id: 3, sample: 40.560, missed_samples: 1 , time: 267912318 #
aggregator, node_id: 3, sample: 76.835, missed_samples: 0 , time: 271310723 #
aggregator, node_id: 2, sample: 26.682, missed_samples: 1 , time: 271404502 #
aggregator, node_id: 2, sample: 35.493, missed_samples: 0 , time: 274920122 #
aggregator, node_id: 3, sample: 51.562, missed_samples: 0 , time: 275006035 #
aggregator, node_id: 2, sample: 29.448, missed_samples: 0 , time: 279414131 #
aggregator, node_id: 3, sample: 10.812, missed_samples: 0 , time: 279749033 #
aggregator, node_id: 2, sample: 71.575, missed_samples: 1 , time: 283115422 #
aggregator, node_id: 3, sample: 9.731, missed_samples: 0 , time: 283623123 #
aggregator, node_id: 3, sample: 31.420, missed_samples: 0 , time: 287615450 #
aggregator, node_id: 2, sample: 51.684, missed_samples: 0 , time: 287781259 #
aggregator, node_id: 3, sample: 11.723, missed_samples: 0 , time: 291381057 #
aggregator, node_id: 2, sample: 17.489, missed_samples: 0 , time: 291998251 #
aggregator, node_id: 2, sample: 38.734, missed_samples: 0 , time: 295427952 #
aggregator, node_id: 3, sample: 9.696, missed_samples: 0 , time: 295483515 #
aggregator, node_id: 3, sample: 78.501, missed_samples: 0 , time: 299279470 #
aggregator, node_id: 2, sample: 62.145, missed_samples: 0 , time: 299335915 #
aggregator, node_id: 2, sample: 35.595, missed_samples: 0 , time: 302349796 #
aggregator, node_id: 3, sample: 38.050, missed_samples: 0 , time: 303896598 #
aggregator, node_id: 2, sample: 68.368, missed_samples: 0 , time: 305951364 #
aggregator, node_id: 3, sample: 58.633, missed_samples: 0 , time: 307763878 #
aggregator, node_id: 2, sample: 68.267, missed_samples: 0 , time: 310310732 #
aggregator, node_id: 3, sample: 41.372, missed_samples: 0 , time: 312123257 #
aggregator, node_id: 2, sample: 49.775, missed_samples: 0 , time: 314427928 #
aggregator, node_id: 3, sample: 26.986, missed_samples: 1 , time: 316201391 #
aggregator, node_id: 2, sample: 70.443, missed_samples: 0 , time: 317638866 #
aggregator, node_id: 3, sample: 21.675, missed_samples: 0 , time: 319279495 #
aggregator, node_id: 2, sample: 53.050, missed_samples: 0 , time: 321779415 #
aggregator, node_id: 3, sample: 49.991, missed_samples: 0 , time: 323849806 #
aggregator, node_id: 2, sample: 19.073, missed_samples: 0 , time: 326490340 #
aggregator, node_id: 3, sample: 36.770, missed_samples: 0 , time: 327654500 #
aggregator, node_id: 2, sample: 31.650, missed_samples: 0 , time: 329810744 #
