aggregator, node_id: 3, sample: 53.573, missed_samples: 0, msg_ids_in_msg: [3, 3, 3], node_ids_in_msg: [7, 8, 9] , time: 11943994 #
aggregator, node_id: 2, sample: 63.303, missed_samples: 0, msg_ids_in_msg: [3, 3, 3], node_ids_in_msg: [4, 5, 6] , time: 12160534 #
aggregator, node_id: 3, sample: 59.840, missed_samples: 0, msg_ids_in_msg: [4, 4, 4], node_ids_in_msg: [7, 8, 9] , time: 15558963 #
aggregator, node_id: 2, sample: 72.361, missed_samples: 0, msg_ids_in_msg: [4, 4, 4], node_ids_in_msg: [4, 5, 6] , time: 16592374 #
aggregator, node_id: 3, sample: 38.001, missed_samples: 0, msg_ids_in_msg: [5, 5, 5], node_ids_in_msg: [7, 8, 9] , time: 19715065 #
aggregator, node_id: 2, sample: 65.321, missed_samples: 1, msg_ids_in_msg: [5, 5, 5], node_ids_in_msg: [4, 5, 6] , time: 20920513 #
aggregator, node_id: 3, sample: 75.088, missed_samples: 0, msg_ids_in_msg: [6, 6, 6], node_ids_in_msg: [7, 8, 9] , time: 23676073 #
aggregator, node_id: 2, sample: 20.769, missed_samples: 0, msg_ids_in_msg: [6, 6, 7], node_ids_in_msg: [4, 5, 6] , time: 24941804 #
aggregator, node_id: 3, sample: 57.061, missed_samples: 0, msg_ids_in_msg: [7, 7, 7], node_ids_in_msg: [7, 8, 9] , time: 28207332 #
aggregator, node_id: 2, sample: 57.478, missed_samples: 0, msg_ids_in_msg: [7, 7, 8], node_ids_in_msg: [4, 5, 6] , time: 29576736 #
aggregator, node_id: 2, sample: 26.074, missed_samples: 0, msg_ids_in_msg: [8, 8, 9], node_ids_in_msg: [4, 5, 6] , time: 32988566 #
aggregator, node_id: 3, sample: 48.321, missed_samples: 1, msg_ids_in_msg: [8, 8, 8], node_ids_in_msg: [7, 8, 9] , time: 33058973 #
aggregator, node_id: 2, sample: 45.555, missed_samples: 0, msg_ids_in_msg: [9, 9, 10], node_ids_in_msg: [4, 5, 6] , time: 37379639 #
aggregator, node_id: 3, sample: 30.718, missed_samples: 0, msg_ids_in_msg: [9, 9, 10], node_ids_in_msg: [7, 8, 9] , time: 37778079 #
aggregator, node_id: 2, sample: 59.522, missed_samples: 0, msg_ids_in_msg: [10, 10, 11], node_ids_in_msg: [4, 5, 6] , time: 40958465 #
aggregator, node_id: 3, sample: 40.087, missed_samples: 0, msg_ids_in_msg: [10, 10, 11], node_ids_in_msg: [7, 8, 9] , time: 41052107 #
aggregator, node_id: 3, sample: 26.624, missed_samples: 0, msg_ids_in_msg: [11, 11, 12], node_ids_in_msg: [7, 8, 9] , time: 45325660 #
aggregator, node_id: 2, sample: 57.838, missed_samples: 0, msg_ids_in_msg: [11, 11, 12], node_ids_in_msg: [4, 5, 6] , time: 45731893 #
aggregator, node_id: 3, sample: 52.044, missed_samples: 0, msg_ids_in_msg: [12, 12, 13], node_ids_in_msg: [7, 8, 9] , time: 48839521 #
aggregator, node_id: 2, sample: 53.782, missed_samples: 0, msg_ids_in_msg: [12, 12, 13], node_ids_in_msg: [4, 5, 6] , time: 50036561 #
aggregator, node_id: 3, sample: 60.806, missed_samples: 0, msg_ids_in_msg: [13, 13, 14], node_ids_in_msg: [7, 8, 9] , time: 52677193 #
aggregator, node_id: 2, sample: 52.597, missed_samples: 0, msg_ids_in_msg: [13, 13, 14], node_ids_in_msg: [4, 5, 6] , time: 53591256 #
aggregator, node_id: 3, sample: 22.018, missed_samples: 0, msg_ids_in_msg: [14, 14, 15], node_ids_in_msg: [7, 8, 9] , time: 56934929 #
aggregator, node_id: 2, sample: 71.802, missed_samples: 0, msg_ids_in_msg: [14, 14, 15], node_ids_in_msg: [4, 5, 6] , time: 56974069 #
aggregator, node_id: 2, sample: 67.609, missed_samples: 0, msg_ids_in_msg: [15, 15, 16], node_ids_in_msg: [4, 5, 6] , time: 61466252 #
aggregator, node_id: 3, sample: 71.553, missed_samples: 0, msg_ids_in_msg: [15, 15, 16], node_ids_in_msg: [7, 8, 9] , time: 61872518 #
aggregator, node_id: 2, sample: 78.818, missed_samples: 0, msg_ids_in_msg: [16, 16, 17], node_ids_in_msg: [4, 5, 6] , time: 64966256 #
aggregator, node_id: 3, sample: 53.891, missed_samples: 0, msg_ids_in_msg: [16, 16, 17], node_ids_in_msg: [7, 8, 9] , time: 66388152 #
aggregator, node_id: 2, sample: 61.168, missed_samples: 0, msg_ids_in_msg: [17, 17, 18], node_ids_in_msg: [4, 5, 6] , time: 68278777 #
aggregator, node_id: 3, sample: 41.198, missed_samples: 0, msg_ids_in_msg: [17, 17, 18], node_ids_in_msg: [7, 8, 9] , time: 71310023 #
aggregator, node_id: 2, sample: 33.601, missed_samples: 1, msg_ids_in_msg: [18, 18, 19], node_ids_in_msg: [4, 5, 6] , time: 73231886 #
aggregator, node_id: 3, sample: 19.465, missed_samples: 0, msg_ids_in_msg: [18, 18, 19], node_ids_in_msg: [7, 8, 9] , time: 75286591 #
aggregator, node_id: 2, sample: 51.725, missed_samples: 0, msg_ids_in_msg: [19, 20, 20], node_ids_in_msg: [4, 5, 6] , time: 76981895 #
aggregator, node_id: 3, sample: 66.285, missed_samples: 0, msg_ids_in_msg: [19, 19, 20], node_ids_in_msg: [7, 8, 9] , time: 80169375 #
aggregator, node_id: 2, sample: 62.447, missed_samples: 0, msg_ids_in_msg: [20, 21, 21], node_ids_in_msg: [4, 5, 6] , time: 81130322 #
aggregator, node_id: 3, sample: 51.987, missed_samples: 1, msg_ids_in_msg: [20, 20, 21], node_ids_in_msg: [7, 8, 9] , time: 84864731 #
aggregator, node_id: 2, sample: 76.545, missed_samples: 0, msg_ids_in_msg: [21, 22, 22], node_ids_in_msg: [4, 5, 6] , time: 85895950 #
aggregator, node_id: 3, sample: 32.088, missed_samples: 0, msg_ids_in_msg: [21, 22, 22], node_ids_in_msg: [7, 8, 9] , time: 87903680 #
aggregator, node_id: 2, sample: 57.147, missed_samples: 0, msg_ids_in_msg: [22, 23, 23], node_ids_in_msg: [4, 5, 6] , time: 90529019 #
aggregator, node_id: 3, sample: 79.796, missed_samples: 0, msg_ids_in_msg: [22, 23, 23], node_ids_in_msg: [7, 8, 9] , time: 92083454 #
aggregator, node_id: 2, sample: 71.676, missed_samples: 0, msg_ids_in_msg: [23, 24, 24], node_ids_in_msg: [4, 5, 6] , time: 93942831 #
aggregator, node_id: 3, sample: 55.904, missed_samples: 0, msg_ids_in_msg: [23, 24, 24], node_ids_in_msg: [7, 8, 9] , time: 96083462 #
