Aggregated data: 55.772, Missed: 0 , time: 94215373 #
Aggregated data: 52.124, Missed: 1 , time: 99769995 #
Aggregated data: 57.081, Missed: 0 , time: 104699596 #
Aggregated data: 50.670, Missed: 0 , time: 109395013 #
Aggregated data: 61.824, Missed: 0 , time: 115262170 #
Aggregated data: 62.380, Missed: 0 , time: 119509332 #
Aggregated data: 30.026, Missed: 0 , time: 125017070 #
Aggregated data: 45.739, Missed: 0 , time: 129485894 #
Aggregated data: 45.508, Missed: 0 , time: 134642142 #
Aggregated data: 54.893, Missed: 0 , time: 140525289 #
Aggregated data: 46.343, Missed: 0 , time: 145423387 #
Aggregated data: 59.665, Missed: 0 , time: 149532783 #
Aggregated data: 48.266, Missed: 0 , time: 154478071 #
Aggregated data: 67.152, Missed: 0 , time: 159152805 #
Aggregated data: 44.893, Missed: 0 , time: 164676312 #
Aggregated data: 58.207, Missed: 0 , time: 169355997 #
Aggregated data: -195.65015, Missed: 0 , time: 174599897 #
Aggregated data: -23.65515, Missed: 0 , time: 179657445 #
Aggregated data: 19.847, Missed: 0 , time: 185469639 #
Aggregated data: 51.262, Missed: 0 , time: 191313332 #
Aggregated data: 54.810, Missed: 0 , time: 195688314 #
Aggregated data: 59.335, Missed: 0 , time: 201306284 #
Aggregated data: 46.092, Missed: 0 , time: 207016953 #
Aggregated data: 18.577, Missed: 0 , time: 212853073 #
Aggregated data: 40.461, Missed: 0 , time: 217251508 #
Aggregated data: 29.828, Missed: 0 , time: 221707556 #
Aggregated data: 24.855, Missed: 0 , time: 227410697 #
Aggregated data: 34.034, Missed: 0 , time: 232012093 #
Aggregated data: 48.975, Missed: 0 , time: 237215418 #
Aggregated data: 51.436, Missed: 0 , time: 242152854 #
Aggregated data: 17.146, Missed: 0 , time: 246751331 #
Aggregated data: 7.791, Missed: 0 , time: 251410634 #
Aggregated data: 61.384, Missed: 0 , time: 256285668 #
Aggregated data: 61.226, Missed: 0 , time: 261345259 #
Aggregated data: 29.253, Missed: 0 , time: 266493747 #
Aggregated data: 64.933, Missed: 0 , time: 271181021 #
Aggregated data: 74.640, Missed: 0 , time: 276676304 #
Aggregated data: 58.021, Missed: 0 , time: 282012194 #
Aggregated data: -5.65327, Missed: 0 , time: 286973480 #
Aggregated data: 46.695, Missed: 0 , time: 292645046 #
Aggregated data: 23.187, Missed: 0 , time: 297027900 #
Aggregated data: 44.984, Missed: 0 , time: 302394988 #
Aggregated data: -6.65146, Missed: 0 , time: 308215596 #
Aggregated data: 73.386, Missed: 0 , time: 313743461 #
Aggregated data: 34.032, Missed: 0 , time: 318332448 #
Aggregated data: 37.533, Missed: 0 , time: 322457050 #
Aggregated data: 23.412, Missed: 0 , time: 327657553 #
Aggregated data: 47.105, Missed: 0 , time: 331762236 #
Aggregated data: 44.346, Missed: 0 , time: 336504446 #
Aggregated data: 43.729, Missed: 0 , time: 341985211 #
Aggregated data: 26.966, Missed: 0 , time: 346586813 #
Aggregated data: 36.332, Missed: 0 , time: 351813033 #
Aggregated data: 64.687, Missed: 0 , time: 357594593 #
Aggregated data: 17.481, Missed: 0 , time: 361766520 #
Aggregated data: 27.481, Missed: 0 , time: 366391483 #
Aggregated data: 21.333, Missed: 0 , time: 370403898 #
Aggregated data: 42.764, Missed: 0 , time: 375266415 #
Aggregated data: 26.210, Missed: 0 , time: 380036586 #
Aggregated data: 54.179, Missed: 0 , time: 385477383 #
Aggregated data: 43.149, Missed: 0 , time: 390914654 #
Aggregated data: 38.593, Missed: 0 , time: 394973172 #
Aggregated data: 32.324, Missed: 0 , time: 400875258 #
Aggregated data: 32.370, Missed: 0 , time: 405407076 #
Aggregated data: 50.020, Missed: 0 , time: 411336596 #
Aggregated data: 49.606, Missed: 0 , time: 416696179 #
Aggregated data: 50.201, Missed: 0 , time: 421539892 #
Aggregated data: 37.967, Missed: 0 , time: 426578994 #
Aggregated data: 66.145, Missed: 0 , time: 431852363 #
Aggregated data: 38.233, Missed: 0 , time: 437610194 #
Aggregated data: -2.64585, Missed: 0 , time: 442251124 #
Aggregated data: 70.193, Missed: 0 , time: 448196155 #
Aggregated data: 67.181, Missed: 0 , time: 452622688 #
Aggregated data: 78.162, Missed: 0 , time: 456758651 #
Aggregated data: 51.966, Missed: 0 , time: 461172699 #
Aggregated data: 83.470, Missed: 0 , time: 465352365 #
Aggregated data: 48.323, Missed: 0 , time: 469875827 #
Aggregated data: 28.695, Missed: 0 , time: 475524274 #
Aggregated data: 22.907, Missed: 0 , time: 481094616 #
Aggregated data: 50.278, Missed: 0 , time: 485946144 #
Aggregated data: 35.496, Missed: 0 , time: 491001576 #
Aggregated data: 58.362, Missed: 0 , time: 495962525 #
Aggregated data: 49.100, Missed: 0 , time: 501422709 #
Aggregated data: 48.239, Missed: 0 , time: 506313324 #
Aggregated data: 47.090, Missed: 0 , time: 511352506 #
Aggregated data: 60.306, Missed: 0 , time: 516160685 #
Aggregated data: 72.869, Missed: 0 , time: 521902806 #
Aggregated data: 60.779, Missed: 0 , time: 527559169 #
Aggregated data: 49.609, Missed: 0 , time: 532981065 #
